sku,productName,skuType,validationStatus,hasProductName,hasCategory,hasSupplementFacts,hasPricing,hasInventory,hasCoa,hasLabelTemplate,hasMockup,missingFieldCount,missingFields,blockingDefectCount,warningDefectCount,blockingDefects,warningDefects,notApplicableFields,usableForProductEditor,usableForGenerateIntelligence,usableForImageStudio,usableForChannelOptimization,usableForOptiBay,usableForOptiWal,usableForOptizon,sourceNotes
ROC908,,unknown,blocked,false,false,false,false,true,false,false,false,10,category|coaUrl|estimatedProfit|labelTemplateUrl|membershipTierCosts|mockupUrl|msrp|productName|supplementFactsText|wholesaleCost,2,0,productName:missing_product_name|pricing.wholesaleCostOrMembership:missing_pricing_values,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.activeIngredients|supplementFacts.otherIngredients|supplementFacts.servingSize|supplementFacts.servingsPerContainer,false,false,false,false,false,false,false,
ROC910,,unknown,blocked,false,false,false,false,true,false,false,false,10,category|coaUrl|estimatedProfit|labelTemplateUrl|membershipTierCosts|mockupUrl|msrp|productName|supplementFactsText|wholesaleCost,2,0,productName:missing_product_name|pricing.wholesaleCostOrMembership:missing_pricing_values,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.activeIngredients|supplementFacts.otherIngredients|supplementFacts.servingSize|supplementFacts.servingsPerContainer,false,false,false,false,false,false,false,
ROC911,,unknown,blocked,false,false,false,false,true,false,false,false,10,category|coaUrl|estimatedProfit|labelTemplateUrl|membershipTierCosts|mockupUrl|msrp|productName|supplementFactsText|wholesaleCost,2,0,productName:missing_product_name|pricing.wholesaleCostOrMembership:missing_pricing_values,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.activeIngredients|supplementFacts.otherIngredients|supplementFacts.servingSize|supplementFacts.servingsPerContainer,false,false,false,false,false,false,false,
ROC914,Organic Beetroot,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.containerSize|supplementFacts.otherIngredients|supplementFacts.productWeight,false,false,false,false,false,false,false,
ROC915,"Mushroom Immune Booster Chaga, Cordyceps, Reishi and Lion’s Mane.",supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.containerSize|supplementFacts.otherIngredients|supplementFacts.productWeight,false,false,false,false,false,false,false,
ROC918,Multivitamin Gummies (Adults),supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.containerSize|supplementFacts.otherIngredients|supplementFacts.productWeight,false,false,false,false,false,false,false,
ROC919,Skin Glow Gummies w/ Biotin + C + E,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.containerSize|supplementFacts.otherIngredients|supplementFacts.productWeight,false,false,false,false,false,false,false,
ROC920,Sleep Well Gummies,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.containerSize|supplementFacts.otherIngredients|supplementFacts.productWeight,false,false,false,false,false,false,false,
ROC921,,unknown,blocked,false,false,false,false,false,false,false,false,12,category|coaUrl|estimatedProfit|inventoryStatus|labelTemplateUrl|membershipTierCosts|mockupUrl|msrp|productName|rawInventoryValue|supplementFactsText|wholesaleCost,3,0,productName:missing_product_name|pricing.wholesaleCostOrMembership:missing_pricing_values|inventory.availability:missing_inventory_availability,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.activeIngredients|supplementFacts.otherIngredients|supplementFacts.servingSize|supplementFacts.servingsPerContainer,false,false,false,false,false,false,false,
ROC922,Omega 3 Gummies,supplement,blocked,true,false,false,true,true,false,false,false,7,category|coaUrl|estimatedProfit|labelTemplateUrl|mockupUrl|msrp|supplementFactsText,6,0,supplementFacts.servingSize:missing_serving_size|supplementFacts.servingsPerContainer:missing_servings_per_container|supplementFacts.activeIngredients:missing_active_ingredients|assets.coaUrl:missing_coa_url|assets.labelTemplateOrEquivalent:missing_label_template|assets.usableProductAsset:missing_usable_asset,,apparel.sizingFields|assets.mockupUrl|assets.secondaryAssetLinks|quality.certifications|quality.dietaryAttributes|quality.keyFeatures|quality.manufacturingClaims|quality.marketingBullets|supplementFacts.otherIngredients,false,false,false,false,false,false,false,
