productHandle,productTitle,shopifySku,supplierSku,supplierMatchStatus,productType,sourceMode,hasShopifyFactsImage,shopifyFactsImageUrlsCount,hasSupplierFactsImage,supplierFactsImageUrlsCount,hasTemplateLabelAsset,hasMockupAsset,hasAiLabelTextEvidence,aiLabelTextStatus,hasOcrEvidence,hasStructuredSupplementFactsInArtifacts,hasStructuredSupplementFactsInDb,hasSupplementFactsInCopywritingInput,servingSizePresentInArtifacts,servingSizePresentInDb,servingSizePresentInInput,servingsPerContainerPresentInArtifacts,servingsPerContainerPresentInDb,servingsPerContainerPresentInInput,activeIngredientsPresentInArtifacts,activeIngredientsPresentInDb,activeIngredientsPresentInInput,ingredientAmountsPresentInArtifacts,ingredientAmountsPresentInDb,ingredientAmountsPresentInInput,otherIngredientsPresent,suggestedUsePresent,warningsPresent,coaPresent,pricingPresent,inventoryPresent,copywritingSupplementFactsMissingFlag,copywritingIngredientFactsMissingFlag,copywritingMissingDataNotices,validationIngredientMatchingReadiness,validationProductEditorFactsReadiness,globalValidationStatus,incorrectlyClassifiedSupplementFactsMissing,labelImageEvidenceButNoStructuredFacts,aiLabelTextAvailableButInputMissing,structuredFactsInArtifactsButDbMissing,structuredFactsInDbButInputMissing,sourceDataInSupplierSnapshotButNotInput,auditCategory,suspectedRootCause,recommendedFixLane
glutathione-complex,Glutathione Complex,ROC721,ROC721,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Inventory missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
liquid-d3-ultra-0-43-fl-oz,Liquid D3 Ultra 0.43 fl oz,ROC723,ROC723,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",needs_review,blocked,blocked,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
nac-plus,NAC Plus,ROC725,ROC725,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
betaine-hcl-plus,Betaine HCL Plus,ROC727,ROC727,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
hcl-activator-plus,HCL Activator Plus,ROC728,ROC728,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
vitamin-b-complex,Vitamin B Complex,ROC729,ROC729,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
plant-source-vitamin-c,Plant-Source Vitamin C,ROC730,ROC730,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",ready,ready,usable_with_warnings,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
fermented-vitamin-b-complex-8-fl-oz,Fermented Vitamin B Complex 8 fl oz,ROC731,ROC731,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",blocked,blocked,blocked,true,true,true,false,false,true,C,ai_label_text_mapping_gap,ai_label_text_mapping_gap
fermented-vitamin-b-complex-2-fl-oz,Fermented Vitamin B Complex 2 fl oz,ROC732,ROC732,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",blocked,blocked,blocked,true,true,true,false,false,true,C,ai_label_text_mapping_gap,ai_label_text_mapping_gap
fermented-melatonin-2-fl-oz,Fermented Melatonin 2 fl oz,ROC733,ROC733,matched,supplement,supplier-backed,null,null,true,1,true,true,true,reused_cached,false,true,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,true,true,true,true,"[""COA missing."",""Pricing missing."",""Supplement Facts missing.""]",needs_review,blocked,blocked,true,false,true,false,true,true,E,read_model_to_copywriting_input_gap,read_model_to_copywriting_input_gap
